model,label,harness,completion_rate
claude-opus-4-5,claude-opus-4-5,claude-code,96.0
claude-sonnet-4-5,claude-sonnet-4-5,claude-code,90.0
gpt-5-1,gpt-5-1,codex-cli,38.5
gpt-5-1-codex,gpt-5-1-codex,codex-cli,74.66666666666667
gpt-5-1-codex-max,gpt-5-1-codex-max,codex-cli,81.66666666666667
gpt-5-2,gpt-5-2,codex-cli,92.5
gpt-devstral,gpt-devstral,codex-cli,47.916666666666664
gpt-gemini,gpt-gemini,codex-cli,96.57142857142857
gpt-glm,gpt-glm,codex-cli,82.5
gpt-kimi,gpt-kimi,codex-cli,65.66666666666666
gpt-minimax,gpt-minimax,codex-cli,12.5
gpt-opus,gpt-opus,codex-cli,100.0
gpt-oss-120b,gpt-oss-120b,codex-cli,21.666666666666664
gpt-qwen,gpt-qwen,codex-cli,0.0
gpt-sonnet,gpt-sonnet,codex-cli,92.5
openrouter/anthropic/claude-opus-4.5,claude-opus-4.5,opencode,93.33333333333333
openrouter/anthropic/claude-sonnet-4.5,claude-sonnet-4.5,opencode,83.33333333333334
openrouter/google/gemini-3-pro-preview,gemini-3-pro-preview,opencode,67.97619047619048
openrouter/minimax/minimax-m2.1,minimax-m2.1,opencode,73.58333333333333
openrouter/mistralai/devstral-2512:free,devstral-2512:free,opencode,65.0
openrouter/moonshotai/kimi-k2-thinking,kimi-k2-thinking,opencode,80.5
openrouter/openai/gpt-5.2,gpt-5.2,opencode,87.5
openrouter/qwen/qwen3-coder:free,qwen3-coder:free,opencode,68.63636363636364
openrouter/z-ai/glm-4.7,glm-4.7,opencode,75.0
