label,codex-cli,claude-code,open-code
claude-opus-4-5,,96.00,
claude-opus-4.5,,93.33,
claude-sonnet-4-5,,90.00,
claude-sonnet-4.5,,83.33,
devstral-2512:free,,,65.00
gemini-3-pro-preview,,,67.98
glm-4.7,,,75.00
gpt-5-1,38.50,,
gpt-5-1-codex,74.67,,
gpt-5-1-codex-max,81.67,,
gpt-5-2,92.50,,
gpt-5.2,87.50,,
gpt-devstral,47.92,,
gpt-gemini,96.57,,
gpt-glm,82.50,,
gpt-kimi,65.67,,
gpt-minimax,12.50,,
gpt-opus,100.00,,
gpt-oss-120b,21.67,,
gpt-qwen,0.00,,
gpt-sonnet,92.50,,
kimi-k2-thinking,,,80.50
minimax-m2.1,,,73.58
qwen3-coder-30b-a3b-instruct,,,0.00
qwen3-coder:free,,,68.64
